candidate_id,canonical_candidate,candidate_kind,named_reference_count,http_host_count,observed_locator_or_label,promotion_state,canonical_registry_effect,notes
"SRC-CAND-0001","IRAAP / Jorge Martín source lineage","research_archive_lineage","24","0","Jorge Martin/IRAAP","CANDIDATE_DISTINCT_LINEAGE_NEEDS_AUTHORITY_SCOPE","NONE","Repeated explicit corpus lineage; keep person/organization authority scope separate before promotion."
"SRC-CAND-0002","ThinkAboutItDocs","reporting_archive","15","6","www.thinkaboutitdocs.com","CANDIDATE_DISTINCT_IDENTITY","NONE","Distinct named archive in corpus; secondary provenance."
"SRC-CAND-0003","CEOVNI","research_group_or_archive","11","0","CEOVNI","CANDIDATE_DISTINCT_IDENTITY_NEEDS_LOCATOR","NONE","Explicit corpus label; one additional composite CEOVNI (Noel Rigau) label is preserved separately in raw evidence."
"SRC-CAND-0004","OVNI.net","reporting_archive","25","1","Ovni.Net / OVNI.net / www.ovni.net","CANDIDATE_DISTINCT_IDENTITY","NONE","Case-preserved capitalization variants treated as discovery aliases, not automatic identity proof."
"SRC-CAND-0005","MUFON / PRMUFON","reporting_archive","2","4","PRMUFON / mufoncms.com","CANDIDATE_DISTINCT_LINEAGE_NEEDS_SCOPE","NONE","MUFON and Puerto Rico MUFON references recur; parent/chapter identity must be reviewed before canonical promotion."
"SRC-CAND-0006","Project 1947","historical_research_archive","1","9","Project 1947 / www.project1947.com","CANDIDATE_DISTINCT_IDENTITY","NONE","Distinct historical archive lineage observed in corpus."
"SRC-CAND-0007","UFO Casebook","reporting_archive","2","5","UFO Casebook / ufocasebook.com","CANDIDATE_DISTINCT_IDENTITY","NONE","Distinct secondary reporting archive."
"SRC-CAND-0008","The UFO Chronicles","reporting_archive","0","8","www.theufochronicles.com","CANDIDATE_DISTINCT_IDENTITY","NONE","Distinct secondary reporting archive; host evidence only, so locator/policy review remains required."
"SRC-CAND-0009","Phantoms and Monsters","reporting_archive","0","13","phantomsandmonsters.com","CANDIDATE_DISTINCT_IDENTITY","NONE","Distinct secondary reporting archive; host evidence only."
"SRC-CAND-0010","National Archives and Records Administration (NARA)","government_archive","0","4","catalog.archives.gov / www.archives.gov","CANDIDATE_DISTINCT_IDENTITY","NONE","Official archival repository distinct from originating agencies; do not conflate archive custody with record producer identity."
"SRC-CAND-0011","CIA FOIA Reading Room","government_archive","0","3","www.cia.gov/readingroom","CANDIDATE_DISTINCT_IDENTITY","NONE","Official CIA archival source observed directly in master release."
"SRC-CAND-0012","SETI Institute","research_organization","0","3","www.seti.org","CANDIDATE_DISTINCT_IDENTITY","NONE","Distinct research organization source."
"SRC-CAND-0013","The Black Vault","document_archive","0","5","www.theblackvault.com / www.blackvault.com","CANDIDATE_DISTINCT_IDENTITY_NEEDS_ALIAS_REVIEW","NONE","Two host variants observed; alias relation must be confirmed rather than assumed."
"SRC-CAND-0014","Primera Hora","news_media","0","8","www.primerahora.com","CANDIDATE_DISTINCT_IDENTITY","NONE","Distinct Puerto Rico news source."
"SRC-CAND-0015","Telemundo Puerto Rico","news_media","0","2","www.telemundopr.com","CANDIDATE_DISTINCT_IDENTITY","NONE","Distinct Puerto Rico news source."
"SRC-CAND-0016","NOAA Ocean Explorer","government_science_source","0","1","oceanexplorer.noaa.gov","CANDIDATE_DISTINCT_IDENTITY","NONE","Official NOAA source; singleton count is discovery metadata, not identity proof."
"SRC-CAND-0017","Flying Saucer Review","publication","1","0","Flying Saucer Review V42N4 (1997)","CANDIDATE_DISTINCT_PUBLICATION","NONE","Named publication explicitly preserved in source field."
"SRC-CAND-0018","ARGUS-PR","research_group_or_archive","1","0","ARGUS-PR","REVIEW_ONLY_SINGLETON","NONE","Explicit singleton organization-like label; authority scope and locator unresolved."
"SRC-CAND-0019","Enfoque X","publication_or_program","1","0","Enfoque X","REVIEW_ONLY_SINGLETON","NONE","Explicit singleton label; publication/program identity unresolved."
"SRC-CAND-0020","URECAT","research_archive","1","0","URECAT","REVIEW_ONLY_SINGLETON","NONE","Explicit singleton archive-like label; locator/policy unresolved."
